D_600_1,H_600_1,D_600_2,H_600_2,D_690,H_690,D_718,H_718,D_718Plus,H_718Plus,D_600_3,H_600_3,VD_718Plus,VH_718Plus,VD_600,VH_600,VD_690,VH_690
0,377.21,0,316.07,0,395.94,0,344,0,984.06,50,274.17,0,919.27,0,327.16,50,343.74
50,266.34,50,234.42,50,375.42,50,343,25,984.74,150,264.64,25,917.28,50,265.33,150,295.69
175,245.15,175,221.3,100,348.03,100,330,75,958.37,250,250.3,75,905.28,175,234.4,250,279.54
300,216.24,300,198.27,150,317.41,150,302,125,856.54,350,241.84,125,848.52,300,218.59,350,265.47
400,204.8,400,190.86,200,315.84,200,280,175,791.77,450,211.45,175,815.15,400,208.16,450,247.76
500,201.42,500,187.14,250,305.8,250,256,225,739.7,550,203,225,767.75,500,195.54,550,221.5
750,186.6,750,183.91,300,295.76,300,258,275,682.94,650,201.5,275,713.67,750,181.39,650,210.02
1000,166.07,1000,168.42,250,287.74,350,249,325,680.29,750,198.39,325,700.33,1000,171.11,750,197.24
1250,163.34,1250,159.47,400,287.39,400,243,375,673.64,850,200.64,375,690.33,1250,163.17,850,191.73
1500,161.28,1500,154.73,440,271.7,450,247,425,675.66,950,198.07,425,697.7,1500,161.62,950,191.41
1750,160.91,1750,156.03,500,256.42,500,243,475,691.04,1050,199.79,475,685.03,1750,163.93,1050,187.71
2000,164.22,2000,164.56,550,236.29,550,246,525,683.05,1150,199.89,525,681.05,2000,167.08,1150,187.13
,,,,600,227.87,600,250,575,683.07,1250,200,575,688.41,,,1250,187.58
,,,,650,217.83,700,250,625,687.77,1350,191.55,625,693.78,,,1350,185.96
,,,,700,215.06,800,245,675,685.78,1500,193.26,675,700.48,,,1450,192.12
,,,,750,212.68,900,243,725,681.8,,,725,691.15,,,,
,,,,800,210.72,1000,248,775,676.47,,,775,705.86,,,,
,,,,850,207.54,1100,247,825,674.82,,,825,703.21,,,,
,,,,900,204.76,1200,248,875,679.19,,,875,707.91,,,,
,,,,950,202.39,1300,243,925,674.53,,,925,703.59,,,,
,,,,1000,201.23,1400,248,975,683.9,,,975,695.26,,,,
,,,,,,1500,251,1025,682.59,,,1025,696.62,,,,
,,,,,,1600,247,,,,,,,,,,
,,,,,,1700,250,,,,,,,,,,
,,,,,,1800,250,,,,,,,,,,
,,,,,,1900,247,,,,,,,,,,
,,,,,,2000,250,,,,,,,,,,
