Network,Train_R2,Train_R2 std,Train_RSME,Train_RSME std,Train_MAE,Train_MAE std,Test_R2,Test_R2 std,Test_RSME,Test_RSME std,Test_MAE,Test_MAE std,Epoch,Learning Rate,
Trial-51(7 x 22 x 22 x 1),0.994673093,0.002151022,0.015164915,0.002468627,0.009763042,0.001653961,0.97954806,0.003808432,0.032185235,0.004402075,0.020475486,0.004605311,507,0.0025,0
Trial-43(7 x 28 x 28 x 1),0.992496717,0.005278399,0.020127749,0.007512839,0.012841725,0.004620687,0.979533045,0.009948511,0.036398936,0.006591351,0.023109451,0.006074108,345,0.0075,0
Trial-30(7 x 24 x 24 x 1),0.987878849,0.012073047,0.022410653,0.01089471,0.015796591,0.008339612,0.973463097,0.012760069,0.035242863,0.010509597,0.023753092,0.005868276,362,0.01,0
Trial-44(7 x 30 x 30 x 1),0.99679062,0.001584973,0.012556404,0.003362533,0.008570491,0.002588225,0.971937102,0.023650838,0.035090687,0.017710354,0.019868044,0.007858669,456,0.0075,0
Trial-34(7 x 10 x 10 x 1),0.991829484,0.004822031,0.020713932,0.004850849,0.014252686,0.002356068,0.97124669,0.022399958,0.036507748,0.015855746,0.026163741,0.009503191,668,0.0075,0
Trial-9(7 x 26 x 26 x 1),0.987081484,0.006124209,0.023558644,0.00657181,0.015509943,0.005348308,0.969310428,0.008910954,0.039543146,0.008842906,0.026807688,0.006531013,382,0.001,0
Trial-21(7 x 28 x 28 x 1),0.991862868,0.004028192,0.020794831,0.003886458,0.013762627,0.002296538,0.968104316,0.020577659,0.040669976,0.01264143,0.027151599,0.007364061,383,0.005,0
Trial-19(7 x 24 x 24 x 1),0.992251441,0.004638599,0.019956247,0.006002491,0.014256886,0.003363124,0.967896291,0.010843543,0.042030768,0.011744173,0.027627776,0.007962292,416,0.005,0
Trial-50(7 x 20 x 20 x 1),0.993338476,0.006840254,0.016669907,0.006386496,0.011441575,0.004438866,0.966694318,0.033021213,0.040289428,0.020436211,0.024794444,0.009768938,610,0.0025,0
Trial-37(7 x 16 x 16 x 1),0.98706513,0.005648072,0.025574041,0.006971535,0.018406432,0.007007643,0.966110197,0.026381591,0.040258038,0.018363809,0.02856164,0.012944557,408,0.0075,0
