D_600,RS_600,D_718,RS_718,D_690,RS_690,D_718Plus,RS_718Plus,VD_718,VRS_718,VD_718Plus,VRS_718Plus
50,-1096.60,0,-1882.92,0,-965.00,0,-1324.00,0,-1562.31,0,-1376.12
150,-806.04,5,-1798.17,25,-741.84,0,-1209.79,10,-1532.84,10,-1403.39
250,-570.39,15,-1757.66,50,-554.02,10,-1218.02,20,-1540.24,30,-1272.85
350,-393.71,20,-1647.13,75,-412.04,30,-1087.47,30,-1451.83,50,-928.20
450,-273.34,40,-1437.12,100,-247.14,50,-813.32,40,-1300.76,100,-528.72
550,-199.88,70,-1179.23,125,-125.53,75,-567.89,50,-1138.65,150,-275.46
650,-163.96,90,-983.97,150,-121.08,100,-270.23,80,-928.67,200,-48.30
750,-140.11,100,-862.42,175,-19.85,150,-100.52,100,-807.13,250,32.64
850,-113.57,185,-368.82,200,119.58,200,35.25,130,-685.58,300,215.40
950,-88.38,265,6.84,225,134.23,250,298.96,200,-232.52,400,421.67
1050,-59.16,340,279.33,250,176.89,400,220.63,300,161.56,500,419.06
1150,-35.31,415,662.37,,,500,199.74,350,585.13,,
1250,-8.76,515,658.38,,,,,450,607.01,,
1350,7.05,600,558.62,,,,,600,473.85,,
1450,25.54,680,492.02,,,,,675,407.28,,
1550,43.99,,,,,,,750,311.20,,
